userid,itemid,rating,timestamp
7,31,1.5,1106635678
7,32,5,1106635681
7,34,3.5,1106635489
7,35,5,1106635423
7,36,4,1106635429
7,37,3,1107127060
7,38,3,1106635653
8,2,3,839464076
8,3,3,839463767
8,4,3,839463856
8,5,5,839463509
8,6,3,839463767
8,7,3,839463489
8,8,4,839463422
8,9,3,839463644
8,10,5,839463489
8,11,3,839463509
8,12,3,839463527
8,13,5,839463767
8,14,5,839463546
8,15,3,839463564
8,16,4,839463644
8,17,5,839463422
8,18,1,839463702
8,19,3,839463728
8,21,4,839463546
8,22,3,839463489
8,23,4,839463527
8,24,2,839463624
8,25,5,839463728
8,26,3,839463728
8,27,3,839463702
8,29,3,839463702
8,30,5,839463422
8,31,3,839463422
8,32,4,839463470
8,34,3,839463728
9,35,3,1044656650
9,36,3,1044657119
9,37,4,1044656650
9,38,3,1044656716
9,2,3,1044657102
9,3,4,1044657026
9,4,5,1044657026
9,5,2,1044656650
9,6,4,1044657088
9,7,5,1044656716
9,8,5,1044657088
9,9,4,1044656650
9,10,2,1044656716
9,11,3,1044657200
9,12,4,1044657237
9,13,3,1044656650
9,14,5,1044657072
9,15,3,1044657221
9,16,2,1044656716
9,17,2,1044656650
10,12,3,1455619275
10,13,3,1455303518
10,14,3,1455357613
10,15,3.5,1455301699
10,16,4,1455306183
10,17,0.5,1455356378
10,18,3.5,1455357517
10,19,0.5,1455356388
10,21,1,1455356578
10,22,0.5,1455356582
10,23,4,1455356591
10,24,3,1455398344
10,25,3.5,1455302676
10,26,4.5,1455356595
10,27,4.5,1455398321
10,29,4,1455356385
10,30,4,1455301798
10,31,3,1455399329
10,32,3.5,1455301898
